55 Cnc,
CoRoT-1,
CoRoT-13,
CoRoT-14,
CoRoT-18,
CoRoT-19,
CoRoT-2,
CoRoT-5,
Gaia-1,
Gaia-2,
HAT-P-1,
HAT-P-16,
HAT-P-23,
HAT-P-27,
HAT-P-28,
HAT-P-32,
HAT-P-35,
HAT-P-37,
HAT-P-42,
HAT-P-43,
HAT-P-46,
HAT-P-53,
HAT-P-58,
HAT-P-59,
HAT-P-61,
HAT-P-62,
HAT-P-65,
HAT-P-66,
HATS-1,
HATS-15,
HATS-16,
HATS-2,
HATS-23,
HATS-24,
HATS-26,
HATS-30,
HATS-31,
HATS-32,
HATS-33,
HATS-34,
HATS-4,
HATS-42,
HATS-51,
HATS-52,
HATS-57,
HATS-60,
HATS-63,
HATS-68,
HATS-9,
HD 1397,
HD 20329,
HD 213885,
HD 3167,
HD 80653,
HIP 65 Ab,
K2-100,
K2-107,
K2-131,
K2-141,
K2-238,
K2-266,
K2-29,
K2-31,
K2-34,
K2-370,
K2-399,
KELT-10,
KELT-11,
KELT-14,
KELT-23 A,
Kepler-12,
Kepler-17,
Kepler-41,
Kepler-412,
Kepler-423,
Kepler-43,
Kepler-6,
Kepler-685,
Kepler-686,
Kepler-7,
Kepler-718,
Kepler-91,
KPS-1,
LTT 9779,
NGTS-10,
NGTS-13,
NGTS-21,
NGTS-3 Ab,
NGTS-6,
NGTS-8,
Qatar-1,
Qatar-1,Qatar-10,not known to Simbad
Qatar-1,Qatar-2,not known to Simbad
Qatar-1,Qatar-8,not known to Simbad
Qatar-1,Qatar-9,not known to Simbad
TOI-1181,
TOI-1194,
TOI-1296,
TOI-157,
TOI-1601,
TOI-169,
TOI-1789,
TOI-1807,
TOI-1820,
TOI-1937,
TOI-2145,
TOI-2193,
TOI-2260,
TOI-2337,
TOI-2421,
TOI-2570,
TOI-2583,
TOI-2587,
TOI-2641,
TOI-2669,
TOI-2796,
TOI-2818,
TOI-2842,
TOI-2977,
TOI-3023,
TOI-332,
TOI-3331,
TOI-3540,
TOI-3688,
TOI-3807,
TOI-3819,
TOI-3912,
TOI-4087,
TOI-431,
TOI-4329,
TIC 394918211,alias for TOI-4377,
TOI-4463,
TOI-4791,
TOI-481,
TOI-561,
TOI-564,
TOI-849,
TOI-858,
TOI-905,
TOI-954,
TrES-5,
WASP-10,
WASP-103,
WASP-104,
WASP-113,
WASP-114,
WASP-119,
WASP-123,
WASP-124,
WASP-131,
WASP-133,
WASP-135,
WASP-140,
WASP-141,
WASP-142,
WASP-144,
WASP-145 A,
WASP-147,
WASP-153,
WASP-159,
WASP-163,
WASP-164,
WASP-165,
WASP-168,
WASP-169,
WASP-170,
WASP-171,
WASP-173 A,
WASP-176,
WASP-177,
WASP-182,
WASP-184,
WASP-187,
WASP-19,
WASP-192,
WASP-193,
WASP-2,
WASP-20,
WASP-36,
WASP-37,
WASP-39,
WASP-4,
WASP-43,
WASP-44,
WASP-46,
WASP-47,
WASP-5,
WASP-52,
WASP-57,
WASP-64,
WASP-65,
WASP-70 A,
WASP-75,
WASP-77 A,
WASP-81,
WASP-85 A,
WASP-91,
WASP-96,
WASP-98,
