target,BJD,rv,rv_err,ins_name,RA,DEC,rjd
J010953,2457020.35355168,-1026.807022094701,3.9300200000000003,SOPHIE,16.7908333333333,25.4155555555556,57020.35355168022
J010953,2457020.35355168,-1035.222244262698,3.9300200000000003,SOPHIE,16.7908333333333,25.4155555555556,57020.35355168022
J010953,2457047.26069882,-1026.2004852294986,4.07337,SOPHIE,16.7908333333333,25.4155555555556,57047.26069882
J010953,2457047.26069882,-1036.4849090575988,4.07337,SOPHIE,16.7908333333333,25.4155555555556,57047.26069882
J010953,2457247.62462695,-992.818069458,4.1088000000000005,SOPHIE,16.7908333333333,25.4155555555556,57247.624626949895
J010953,2457275.65070114,-939.0880584717003,4.33922,SOPHIE,16.7908333333333,25.4155555555556,57275.65070114005
J010953,2457303.48051719,-1017.1901702880995,3.81798,SOPHIE,16.7908333333333,25.4155555555556,57303.48051718995
J010953,2457306.5456694,-970.3475952148004,4.22449,SOPHIE,16.7908333333333,25.4155555555556,57306.54566940013
J010953,2457309.55687068,-970.7996368407983,4.214060000000001,SOPHIE,16.7908333333333,25.4155555555556,57309.55687067984
J010953,2457331.50821865,-931.9774627686002,3.94699,SOPHIE,16.7908333333333,25.4155555555556,57331.508218649775
J010953,2457332.5411985,-903.9546966552975,4.01481,SOPHIE,16.7908333333333,25.4155555555556,57332.54119849997
J010953,2457333.52427079,-1007.6763153075988,3.9228199999999998,SOPHIE,16.7908333333333,25.4155555555556,57333.52427079016
J010953,2457334.48868473,-978.3966064452976,3.93564,SOPHIE,16.7908333333333,25.4155555555556,57334.48868473014
J010953,2457334.48868473,-978.0876159667997,3.93565,SOPHIE,16.7908333333333,25.4155555555556,57334.48868473014
J010953,2457335.36823896,-1041.3944244385007,4.26,SOPHIE,16.7908333333333,25.4155555555556,57335.36823895993
J010953,2457335.36823896,-1036.8759155273003,4.260009999999999,SOPHIE,16.7908333333333,25.4155555555556,57335.36823895993
J010953,2457401.29344501,-1045.7584381104007,4.23195,SOPHIE,16.7908333333333,25.4155555555556,57401.293445010204
J010953,2457623.59814633,-995.7859039306989,4.28092,SOPHIE,16.7908333333333,25.4155555555556,57623.5981463301
J010953,2457624.64951173,-979.0737152099994,4.29639,SOPHIE,16.7908333333333,25.4155555555556,57624.64951172983
J010953,2457625.60596157,-837.7906799316008,4.27933,SOPHIE,16.7908333333333,25.4155555555556,57625.60596157005
J010953,2457627.62899407,-961.9571685791009,4.19957,SOPHIE,16.7908333333333,25.4155555555556,57627.62899406999
J010953,2457628.61646194,-1086.1427307129006,3.7787200000000003,SOPHIE,16.7908333333333,25.4155555555556,57628.61646194011
J010953,2457629.59481939,-975.972366333,4.28764,SOPHIE,16.7908333333333,25.4155555555556,57629.594819390215
J010953,2457658.65698496,-1085.9272003173999,4.50141,SOPHIE,16.7908333333333,25.4155555555556,57658.656984960195
J010953,2457659.52489573,-1071.520996093799,4.061,SOPHIE,16.7908333333333,25.4155555555556,57659.52489572996
J010953,2457659.52489573,-1053.1932830811002,4.061,SOPHIE,16.7908333333333,25.4155555555556,57659.52489572996
J010953,2457660.48926668,-1021.5370178223004,4.58059,SOPHIE,16.7908333333333,25.4155555555556,57660.48926668009
J010953,2457661.52819858,-968.3448791504006,4.57164,SOPHIE,16.7908333333333,25.4155555555556,57661.52819857979
J010953,2457661.52819858,-951.361846923799,4.57164,SOPHIE,16.7908333333333,25.4155555555556,57661.52819857979
J010953,2457681.51940598,-917.9107666016009,4.57394,SOPHIE,16.7908333333333,25.4155555555556,57681.51940598013
J010953,2457682.55624252,-907.3230743407983,4.55553,SOPHIE,16.7908333333333,25.4155555555556,57682.55624251999
J010953,2457720.41219067,-1095.7481384276982,4.58162,SOPHIE,16.7908333333333,25.4155555555556,57720.41219067015
J010953,2457721.5064966,-1107.3562622069985,4.49881,SOPHIE,16.7908333333333,25.4155555555556,57721.506496599875
J010953,2457744.33630193,-937.7128601073998,4.5632,SOPHIE,16.7908333333333,25.4155555555556,57744.33630192978
J010953,2457745.35649049,-1003.8272857666009,4.57066,SOPHIE,16.7908333333333,25.4155555555556,57745.35649049003
J010953,2457746.36910953,-1092.3435211181989,4.54829,SOPHIE,16.7908333333333,25.4155555555556,57746.36910953
J010953,2457778.28059431,-1085.2462768555001,4.53139,SOPHIE,16.7908333333333,25.4155555555556,57778.28059430979
J010953,2457792.27676022,-1121.5431213379006,4.6069700000000005,SOPHIE,16.7908333333333,25.4155555555556,57792.27676022006
J010953,2458801.46467195,-851.704788208,4.59382,SOPHIE,16.7908333333333,25.4155555555556,58801.464671949856
J010953,2458801.46467195,-845.940780639598,4.59382,SOPHIE,16.7908333333333,25.4155555555556,58801.464671949856
J010953,2458813.3827869,-1033.0516815186002,4.59313,SOPHIE,16.7908333333333,25.4155555555556,58813.382786899805
