ins_name,ins_mode,obj_date_bjd,spectro_ccf_rv,spectro_ccf_rv_err,spectro_analysis_rhk,spectro_analysis_rhk_err
HARPS,,55296.67010000022,-17766.8,12.1,,
HARPS,,55296.810000000056,-17801.8,11.0,,
HARPS,,55296.78509999998,-17794.3,12.2,,
HARPS,,55296.8199,-17828.9,10.9,,
HARPS,,55295.90920000011,-17762.9,11.9,,
HARPS,,55282.68349999981,-17740.7,11.3,,
HARPS,,55296.70999999996,-17763.3,11.9,,
HARPS,,55296.880100000184,-17782.5,4.5,,
HARPS,,55296.66509999987,-17761.9,12.3,,
HARPS,,55296.7751000002,-17795.2,13.0,,
HARPS,,55282.6987999999,-17773.3,11.9,,
HARPS,,55297.907600000035,-17680.2,3.9,,
HARPS,,55296.705099999905,-17740.3,11.6,,
HARPS,,55296.75999999978,-17849.5,12.1,,
HARPS,,55296.74000000022,-17812.8,10.9,,
HARPS,,55282.6762000001,-17749.2,11.8,,
HARPS,,55296.88510000007,-17869.6,4.2,,
HARPS,,55296.779999999795,-17824.0,12.9,,
HARPS,,55296.84010000015,-17829.4,10.7,,
HARPS,,55296.845100000035,-17839.8,10.0,,
HARPS,,55296.80489999987,-17815.4,10.8,,
HARPS,,55296.794999999925,-17817.7,11.2,,
HARPS,,55296.90510000009,-17743.1,11.8,,
HARPS,,55296.89509999985,-17767.4,12.5,,
HARPS,,55296.72500000009,-17788.5,12.2,,
HARPS,,55296.875,-17857.2,5.6,,
HARPS,,55296.85999999987,-17828.7,11.6,,
HARPS,,55283.694500000216,-17748.7,11.9,,
HARPS,,55296.79009999987,-17841.8,11.8,,
HARPS,,55296.82510000002,-17820.0,11.0,,
HARPS,,55296.700000000186,-17764.5,11.8,,
HARPS,,55296.71499999985,-17753.1,12.0,,
HARPS,,55282.69109999994,-17750.4,11.2,,
HARPS,,55296.77000000002,-17814.1,13.9,,
HARPS,,55296.6801,-17736.4,13.1,,
HARPS,,55296.85000000009,-17860.2,11.1,,
HARPS,,55281.90799999982,-17746.3,12.6,,
HARPS,,55296.814999999944,-17829.3,11.0,,
HARPS,,55296.75499999989,-17826.5,11.6,,
HARPS,,55296.76500000013,-17836.6,12.1,,
HARPS,,55296.75009999983,-17839.9,9.8,,
HARPS,,55297.73820000002,-17774.7,5.6,,
HARPS,,55296.689999999944,-17743.4,12.3,,
HARPS,,55281.693299999926,-17735.8,5.9,,
HARPS,,55296.65139999986,-17755.1,12.3,,
HARPS,,55296.69499999983,-17751.2,12.4,,
HARPS,,55296.72999999998,-17781.3,11.5,,
HARPS,,55296.799999999814,-17801.2,10.9,,
HARPS,,55296.89009999996,-17805.7,4.3,,
HARPS,,55296.830000000075,-17835.5,10.5,,
HARPS,,55296.91009999998,-17744.3,14.1,,
HARPS,,55296.87009999994,-17663.2,4.5,,
HARPS,,55296.86500000022,-17747.5,5.2,,
HARPS,,55296.720100000035,-17800.6,12.2,,
HARPS,,55295.64850000013,-17749.2,12.4,,
HARPS,,55296.89999999991,-17746.1,11.8,,
HARPS,,55296.685000000056,-17737.9,12.6,,
HARPS,,55283.91390000004,-17743.6,11.9,,
HARPS,,55296.674999999814,-17752.1,14.0,,
HARPS,,55296.73499999987,-17796.5,11.1,,
HARPS,,55296.74500000011,-17816.0,10.7,,
HARPS,,55296.85499999998,-17843.8,11.6,,
HARPS,,55296.83499999996,-17820.3,10.8,,
