ins_name,ins_mode,obj_date_bjd,spectro_ccf_rv,spectro_ccf_rv_err,spectro_analysis_rhk,spectro_analysis_rhk_err
HIRES,,54838.95648000017,41.95,7.7,,
HIRES,,55699.76306999987,16.59,8.07,,
HIRES,,54807.009779999964,-76.74,9.16,,
HIRES,,54954.8393600001,-67.35,7.49,,
HIRES,,55698.75509000011,-64.08,9.64,,
HIRES,,54189.06253000023,75.9,1.4,,
HIRES,,55545.083850000054,27.02,8.1,,
HIRES,,54187.97909000004,-78.9,1.8,,
HIRES,,55545.932109999936,-31.18,7.91,,
HIRES,,55107.13758999994,-90.39,8.88,,
HIRES,,55193.093739999924,-24.35,7.52,,
HIRES,,54728.12070999993,107.7,6.84,,
HIRES,,54809.989930000156,13.78,9.01,,
HIRES,,55193.88084000023,90.74,7.48,,
HIRES,,55312.75609999988,-14.73,7.4,,
HIRES,,55198.9169999999,4.34,10.58,,
HIRES,,55135.07183999987,-39.87,6.92,,
HIRES,,54189.11202999996,73.9,1.5,,
HIRES,,54187.01101000002,-38.9,1.5,,
HIRES,,55192.02324000001,-93.3,7.19,,
HIRES,,55190.102249999996,70.06,7.12,,
HIRES,,55251.903369999956,-98.98,7.98,,
HIRES,,55187.99450000003,-28.34,8.69,,
HIRES,,54778.03749000002,-88.19,6.47,,
HIRES,,55193.93088999996,-8.61,8.57,,
HIRES,,54188.05794999981,-59.3,1.3,,
HIRES,,54956.82792000007,61.5,9.51,,
HIRES,,55466.10652999999,114.14,7.74,,
HIRES,,54779.11168000009,39.67,7.79,,
HIRES,,54791.118629999924,76.24,7.97,,
HIRES,,55250.89570999984,129.15,7.46,,
HIRES,,54955.85129000014,-52.75,8.95,,
HIRES,,54810.88078999985,125.6,8.34,,
HIRES,,55545.099299999885,26.89,8.37,,
HIRES,,55470.09078999981,18.65,8.16,,
HIRES,,54278.86110999994,65.2,2.9,,
HIRES,,55192.0399600002,-146.19,6.26,,
HIRES,,55112.129439999815,42.24,7.88,,
HIRES,,55289.75982999988,76.11,7.5,,
HIRES,,54954.813620000146,-51.56,7.81,,
HIRES,,55197.00264000008,89.62,7.37,,
HIRES,,55468.062450000085,22.33,7.86,,
HIRES,,55470.11601,-11.17,8.91,,
HIRES,,55109.07573000016,78.38,9.05,,
HIRES,,55251.914650000166,13.52,7.72,,
HIRES,,55193.05376000004,-31.04,6.96,,
HIRES,,55468.09041000018,-14.54,6.61,,
HIRES,,54187.12931000022,-67.4,1.6,,
HIRES,,55545.861940000206,-53.41,8.31,,
HIRES,,54188.98083999986,75.9,1.4,,
HIRES,,54780.05972999986,106.79,7.4,,
HIRES,,54955.842240000144,32.48,8.82,,
HIRES,,55172.95851999987,-41.57,7.3,,
HIRES,,54805.96712000016,-168.48,7.63,,
HIRES,,54865.017889999785,-25.12,8.25,,
HIRES,,55611.999989999924,24.36,16.44,,
HIRES,,54807.99835000001,125.68,6.92,,
HIRES,,55313.79896999989,54.76,8.78,,
HIRES,,54250.85697000008,-48.1,2.1,,
