ins_name,ins_mode,obj_date_bjd,spectro_ccf_rv,spectro_ccf_rv_err,spectro_analysis_rhk,spectro_analysis_rhk_err
CORALIE,,55856.82996100001,347.73,38.8,,
CORALIE,,55887.76423199987,415.97,23.11,,
CORALIE,,55889.62001900002,378.0,25.74,,
CORALIE,,55881.82771100011,573.39,27.15,,
CORALIE,,55872.82630399987,513.09,34.59,,
CORALIE,,55863.776194999926,423.26,28.13,,
CORALIE,,55883.69133599987,509.27,26.04,,
CORALIE,,55894.74372600019,587.54,23.81,,
CORALIE,,55843.809135999996,356.46,34.85,,
CORALIE,,55844.85276099993,607.83,40.4,,
CORALIE,,55880.779941000044,330.21,23.99,,
CORALIE,,55925.588245000225,534.59,20.61,,
CORALIE,,55888.64128699992,543.11,28.07,,
CORALIE,,55858.75524300011,393.17,40.86,,
CORALIE,,55868.786063000094,546.33,32.02,,
CORALIE,,55864.773881999776,538.95,28.4,,
CORALIE,,55859.844477999955,528.18,33.89,,
