ins_name,ins_mode,obj_date_bjd,spectro_ccf_rv,spectro_ccf_rv_err,spectro_analysis_rhk,spectro_analysis_rhk_err
HIRES,,54637.96376000019,200.73,3.1,,
HIRES,,54955.08246999979,-213.27,3.65,,
HIRES,,54634.934499999974,-104.57,3.08,,
HIRES,,54602.85802999977,-193.02,3.63,,
HIRES,,54639.01426000008,90.31,3.34,,
HIRES,,54635.980529999826,-207.08,3.48,,
HIRES,,54641.98652999988,101.38,4.2,,
HIRES,,54777.70610000007,124.49,3.94,,
HIRES,,55017.012790000066,126.95,3.44,,
HIRES,,54603.10265999986,-208.31,2.97,,
HIRES,,54633.99341000011,197.89,3.59,,
HIRES,,54603.86300999997,-163.07,3.39,,
HIRES,,55106.77226,-27.59,4.34,,
HIRES,,54604.09553000005,-95.63,3.35,,
