ins_name,ins_mode,obj_date_bjd,spectro_ccf_rv,spectro_ccf_rv_err,spectro_analysis_rhk,spectro_analysis_rhk_err
HIRES,,55701.077260000166,46.71,3.15,,
HIRES,,55468.99825999979,57.77,3.09,,
HIRES,,55191.81590999989,18.28,3.81,,
HIRES,,55521.81744999997,35.22,3.96,,
HIRES,,55699.11677999981,-31.14,3.84,,
HIRES,,55853.757420000155,-38.93,2.73,,
HIRES,,55469.734530000016,28.31,3.45,,
HIRES,,55698.113530000206,-49.94,3.8,,
HIRES,,55486.911640000064,60.46,3.33,,
HIRES,,55467.92695000023,17.59,2.93,,
HIRES,,55465.967360000126,-41.21,3.02,,
HIRES,,55192.73706000019,46.75,2.96,,
HIRES,,55464.916149999946,49.92,3.24,,
