ins_name,ins_mode,obj_date_bjd,spectro_ccf_rv,spectro_ccf_rv_err,spectro_analysis_rhk,spectro_analysis_rhk_err
CORALIE,,54409.51931999996,57826.659999999996,21.56,,
HARPS,,55655.69358900003,-4761.48,5.25,,
CORALIE,,54408.66110000014,57775.56,16.82,,
CORALIE,,55301.82670099987,-4766.48,11.79,,
HARPS,,55655.80212200014,-4767.61,5.17,,
CORALIE,,55596.74141599983,-4842.84,11.73,,
CORALIE,,55623.89644799987,-4727.22,12.59,,
HARPS,,55659.53745799977,-4684.29,5.5,,
CORALIE,,55298.79834700003,-4804.19,9.73,,
HARPS,,55655.78402000014,-4771.96,5.1,,
CORALIE,,54365.7368999999,57957.030000000006,16.13,,
HARPS,,55655.66644700011,-4757.23,5.24,,
CORALIE,,55449.85680000018,-4173.0,24.0,,
CORALIE,,55392.656200000085,-4183.0,31.0,,
CORALIE,,55396.774399999995,-4058.0,26.0,,
CORALIE,,55292.85481899977,-4821.37,11.29,,
HARPS,,55655.53849299997,-4753.31,5.18,,
HARPS,,55655.70273299981,-4772.98,5.01,,
HARPS,,55654.55302800005,-4692.17,4.72,,
CORALIE,,55389.77779999981,-3894.0,40.0,,
CORALIE,,55482.66000000015,-3978.0,25.0,,
CORALIE,,55361.464846000075,-4741.52,22.69,,
CORALIE,,55450.809499999974,-3912.0,25.0,,
CORALIE,,55400.682200000156,-3382.0,27.0,,
HARPS,,55655.63920099987,-4752.29,5.21,,
HARPS,,55655.602915999945,-4759.36,6.38,,
CORALIE,,55305.70314700017,-4719.9,9.25,,
CORALIE,,55390.814900000114,4680.0,12.0,,
CORALIE,,55623.65873599984,-4721.6,17.4,,
HARPS,,55655.76599799981,-4775.27,5.77,,
HARPS,,55691.470143999904,-4818.09,3.47,,
CORALIE,,55449.879399999976,4699.0,11.0,,
CORALIE,,55380.49040000001,-3282.0,21.0,,
HARPS,,55655.79316300014,-4771.75,5.62,,
HARPS,,55655.64833300002,-4760.8,5.6,,
CORALIE,,55382.754399999976,-4092.0,62.0,,
CORALIE,,55378.483700000215,-3994.0,18.0,,
CORALIE,,55627.89653000003,-4775.3,13.7,,
HARPS,,55655.72074300004,-4765.82,4.84,,
CORALIE,,54387.61903999979,57495.240000000005,14.57,,
CORALIE,,55413.569500000216,-3555.0,33.0,,
CORALIE,,55309.73651599977,-4727.45,9.46,,
HARPS,,55655.75686600013,-4771.45,5.37,,
HARPS,,55655.612129000016,-4759.45,6.45,,
CORALIE,,55376.49110000022,-3036.0,45.0,,
HARPS,,55693.50103900023,-4703.62,3.53,,
CORALIE,,55362.53329999978,-3522.0,31.0,,
CORALIE,,55454.84819999989,-4049.0,26.0,,
CORALIE,,55325.6231999998,-4041.0,21.0,,
CORALIE,,55375.474100000225,-3830.0,18.0,,
CORALIE,,55297.792533999775,-4840.4,9.39,,
HARPS,,55655.73849799996,-4768.78,4.9,,
CORALIE,,55453.87410000013,4507.0,11.0,,
CORALIE,,55454.700999999885,-3513.0,26.0,,
CORALIE,,55334.84280000022,-3414.0,29.0,,
CORALIE,,55627.643366999924,-4806.38,16.29,,
CORALIE,,54383.55276999995,57510.0,14.34,,
CORALIE,,55410.544259000104,-4703.14,12.53,,
CORALIE,,55359.482400000095,-3026.0,22.0,,
CORALIE,,55607.697432999965,-4810.93,11.91,,
CORALIE,,54359.71082000015,57565.57,18.64,,
CORALIE,,55414.76269999985,4557.0,15.0,,
CORALIE,,55446.86139999982,4683.0,12.0,,
HARPS,,55655.775222999975,-4763.86,5.15,,
HARPS,,55692.60230199993,-4768.78,6.23,,
HARPS,,55655.621098999865,-4759.67,6.58,,
CORALIE,,55326.71179299988,-4768.36,11.52,,
CORALIE,,55396.899499999825,-4033.0,39.0,,
HARPS,,55657.84258500021,-4753.61,3.52,,
CORALIE,,55375.63717600005,-4725.26,14.17,,
CORALIE,,55392.76040000003,-3905.0,23.0,,
HARPS,,55655.63032400003,-4748.93,6.03,,
CORALIE,,55453.643900000025,-3999.0,18.0,,
CORALIE,,55414.845199999865,-3433.0,47.0,,
CORALIE,,55591.80869399989,-4852.25,11.82,,
CORALIE,,55448.91280000005,-4013.0,32.0,,
CORALIE,,54379.73629999999,57508.46,14.7,,
CORALIE,,55304.712286999915,-4724.87,12.32,,
CORALIE,,55482.68259999994,4410.0,13.0,,
CORALIE,,55296.77793599991,-4778.96,9.37,,
CORALIE,,55449.760600000154,-4090.0,36.0,,
HARPS,,55657.532219999935,-4773.08,3.4,,
HARPS,,55655.593853000086,-4748.91,6.55,,
CORALIE,,55389.8330000001,-4144.0,24.0,,
CORALIE,,55602.86072700005,-4790.88,10.54,,
CORALIE,,55205.759399999864,-3058.0,13.0,,
CORALIE,,55385.83570000017,-3869.0,32.0,,
CORALIE,,55410.721499999985,4392.0,19.0,,
CORALIE,,55393.759300000034,4704.0,14.0,,
CORALIE,,55328.54410000006,-3067.0,14.0,,
CORALIE,,55390.68889999995,-3491.0,36.0,,
CORALIE,,55390.78019999992,-4074.0,25.0,,
CORALIE,,55327.574500000104,-3430.0,26.0,,
HARPS,,55655.68436399987,-4765.71,5.38,,
HARPS,,55659.839836,-4706.63,7.59,,
CORALIE,,55388.93530000001,4406.0,10.0,,
CORALIE,,55451.80890000006,-4162.0,25.0,,
CORALIE,,55379.52460000012,-3904.0,21.0,,
CORALIE,,55391.46169999987,-3869.0,28.0,,
CORALIE,,55621.8735059998,-4826.37,10.92,,
HARPS,,55655.72996699996,-4761.77,4.83,,
CORALIE,,55392.46020000009,-4086.0,21.0,,
CORALIE,,55359.887000000104,-4116.0,33.0,,
CORALIE,,55624.65523400018,-4689.48,14.11,,
CORALIE,,55300.787581999786,-4720.61,11.26,,
CORALIE,,55445.65780000016,-4141.0,24.0,,
