ins_name,ins_mode,obj_date_bjd,spectro_ccf_rv,spectro_ccf_rv_err,spectro_analysis_rhk,spectro_analysis_rhk_err
HIRES,,57228.868515,-3.8,1.71,,
HARPS,,57191.76095,-4.02,2.42,,
HIRES,,57179.918605,2.24,1.81,,
HIRES,,57206.923418,-4.96,2.01,,
HIRES,,57579.858678,3.02,1.84,,
PFS,,57200.68722,-12.24,2.16,,
HARPS,,57185.81974,9.38,2.73,,
HIRES,,57245.822754,-4.84,1.64,,
HARPS,,57190.684,-2.64,1.73,,
HIRES,,57577.783201,-6.38,1.72,,
HARPS,,57253.48543,-0.6,2.5,,
HARPS,,57188.63849,6.46,2.19,,
HARPS,,57192.65964,-2.13,3.69,,
HIRES,,57211.844938,-2.49,1.71,,
HARPS,,57187.78138,0.31,2.22,,
HIRES,,57255.794464,-6.88,1.79,,
HIRES,,57520.957134,2.08,1.63,,
PFS,,57205.64081,2.07,2.09,,
HARPS,,57211.70008,11.06,2.31,,
HIRES,,57620.799396,1.58,1.72,,
HARPS,,57190.71716,-7.75,2.04,,
PFS,,57198.6746,-13.95,2.31,,
HIRES,,57591.964435,3.75,1.95,,
PFS,,57206.66905,2.37,2.67,,
HARPS,,57189.82294,-8.48,1.78,,
HARPS,,57188.69403,5.69,1.73,,
HARPS,,57188.83141,10.79,3.66,,
HARPS,,57198.80982,11.76,2.74,,
HIRES,,57618.776553,0.63,1.64,,
HARPS,,57186.59974,1.56,3.49,,
HIRES,,57562.889918,1.92,1.85,,
HARPS,,57189.7889,-8.02,1.53,,
HARPS,,57190.74988,-3.93,2.18,,
HIRES,,57580.979251,6.3,1.77,,
HARPS,,57186.79015,0.48,2.84,,
HARPS,,57188.79906,-1.28,2.62,,
PFS,,57204.72413,0.0,2.4,,
HARPS,,57189.75643,-3.27,1.53,,
HARPS,,57278.56859,12.0,3.48,,
HARPS,,57189.64108,-1.58,2.19,,
HARPS,,57191.66878,10.48,3.27,,
HARPS,,57187.74382,2.94,2.41,,
HIRES,,57562.002861,0.81,1.9,,
HIRES,,57298.738091,15.48,1.72,,
HIRES,,57290.774116,-4.75,2.07,,
HARPS,,57191.79493,-4.92,3.2,,
HIRES,,57616.79852,-1.33,1.68,,
HARPS,,57186.82363,6.96,3.18,,
HIRES,,57197.794461,-3.58,1.66,,
HARPS,,57185.67718,10.92,2.34,,
HARPS,,57199.68346,13.58,1.59,,
HARPS,,57198.72143,-2.16,4.51,,
HARPS,,57191.70642,13.28,2.14,,
HIRES,,57555.932942,5.91,2.0,,
HIRES,,57265.78026,-5.92,1.78,,
HARPS,,57187.67459,5.04,1.66,,
HIRES,,57615.802408,-6.52,1.71,,
HIRES,,57599.897252,0.8,1.75,,
HIRES,,57213.943981,1.86,1.84,,
HIRES,,57595.857889,-0.4,1.89,,
HARPS,,57187.81506,8.21,3.13,,
HARPS,,57191.82491,-0.74,3.98,,
HARPS,,57185.6069,10.69,2.65,,
HIRES,,57617.794666,12.13,1.71,,
HARPS,,57189.69856,-1.46,1.71,,
HIRES,,57199.862032,-4.57,1.79,,
HARPS,,57270.50147,-0.73,1.92,,
HARPS,,57188.75958,-8.45,3.83,,
HIRES,,57208.895178,-2.8,1.68,,
HARPS,,57190.64915,-6.05,1.67,,
HARPS,,57199.60136,-9.32,1.89,,
HIRES,,57598.907561,10.05,1.76,,
HARPS,,57186.66981,8.09,2.97,,
HIRES,,57581.967955,2.65,1.88,,
PFS,,57199.74554,-24.28,2.56,,
HARPS,,57185.84975,3.16,4.14,,
HARPS,,57264.51816,6.03,2.99,,
HARPS,,57267.56388,15.81,2.15,,
HARPS,,57190.7842,-8.97,2.22,,
HIRES,,57582.847926,1.58,1.64,,
