target,BJD,rv,rv_err,ins_name,RA,DEC,rjd
LAMOSTJ005200.18+344342.1,2455107.11869,83.86,3.76,HIRES,13.00078172,34.72839034,55107.118689999916
LAMOSTJ005200.18+344342.1,2455108.71101,-72.31,12.1,FIES,13.00078172,34.72839034,55108.7110100002
LAMOSTJ005200.18+344342.1,2455110.68494,77.09,12.6,FIES,13.00078172,34.72839034,55110.684940000065
LAMOSTJ005200.18+344342.1,2455111.59971,-22.21,9.1,FIES,13.00078172,34.72839034,55111.59971000021
LAMOSTJ005200.18+344342.1,2455112.63861,-57.41,12.6,FIES,13.00078172,34.72839034,55112.63860999979
LAMOSTJ005200.18+344342.1,2455113.60539,78.79,8.7,FIES,13.00078172,34.72839034,55113.60539000016
LAMOSTJ005200.18+344342.1,2455114.56809,10.09,13.9,FIES,13.00078172,34.72839034,55114.56809000019
LAMOSTJ005200.18+344342.1,2455115.56626,-99.31,10.8,FIES,13.00078172,34.72839034,55115.566260000225
LAMOSTJ005200.18+344342.1,2455116.5572,34.79,10.0,FIES,13.00078172,34.72839034,55116.557200000156
LAMOSTJ005200.18+344342.1,2455122.55573,-43.01,8.7,FIES,13.00078172,34.72839034,55122.55573000014
LAMOSTJ005200.18+344342.1,2455123.50498,61.29,11.9,FIES,13.00078172,34.72839034,55123.5049800002
LAMOSTJ005200.18+344342.1,2455125.49641,-68.71,9.7,FIES,13.00078172,34.72839034,55125.49641000014
LAMOSTJ005200.18+344342.1,2455191.87545,80.26,2.74,HIRES,13.00078172,34.72839034,55191.87545000017
LAMOSTJ005200.18+344342.1,2455193.81948,-83.44,2.85,HIRES,13.00078172,34.72839034,55193.819480000064
LAMOSTJ005200.18+344342.1,2455198.83008,64.79,2.92,HIRES,13.00078172,34.72839034,55198.83008000022
LAMOSTJ005200.18+344342.1,2455229.73714,-99.43,3.16,HIRES,13.00078172,34.72839034,55229.73713999987
LAMOSTJ005200.18+344342.1,2455251.75531,-64.03,4.85,HIRES,13.00078172,34.72839034,55251.75530999992
