ins_name,ins_mode,obj_date_bjd,spectro_ccf_rv,spectro_ccf_rv_err,spectro_analysis_rhk,spectro_analysis_rhk_err
SOPHIE,,54340.569000000134,-11657.0,8.0,,
SOPHIE,,54508.262000000104,-11027.0,14.0,,
FIES,,54463.37699999986,-11941.0,30.0,,
SOPHIE,,54511.262000000104,-11135.0,16.0,,
FIES,,54437.54000000004,-11028.0,26.0,,
FIES,,54491.33999999985,-11955.0,24.0,,
FIES,,54465.34200000018,-11003.0,18.0,,
SOPHIE,,54509.26800000016,-11336.0,17.0,,
SOPHIE,,54512.262000000104,-11244.0,16.0,,
SOPHIE,,54342.50499999989,-11575.0,11.0,,
FIES,,54490.35800000001,-10990.0,120.0,,
SOPHIE,,54510.27600000007,-11990.0,20.0,,
FIES,,54466.33499999996,-11804.0,21.0,,
FIES,,54490.32899999991,-11013.0,143.0,,
