ins_name,ins_mode,obj_date_bjd,spectro_ccf_rv,spectro_ccf_rv_err,spectro_analysis_rhk,spectro_analysis_rhk_err
HDS,,55013.8843299998,-7.4,5.7,,
HDS,,55013.947439999785,-35.31,5.01,,
HDS,,55014.11225999985,-146.78,5.93,,
HIRES,,54337.76212000009,-236.06,1.7,,
HDS,,55013.79786999989,36.87,7.31,,
HDS,,55014.075139999855,-114.67,5.97,,
HDS,,55013.81955000013,11.37,6.86,,
HIRES,,54985.0209499998,110.41,1.96,,
HIRES,,54336.73959999997,111.08,1.72,,
HDS,,55013.92574999994,-9.34,5.8,,
HDS,,55013.781140000094,53.93,7.71,,
HIRES,,54338.774399999995,151.06,1.54,,
HIRES,,54987.01053000009,189.8,2.23,,
HIRES,,54336.73957999982,124.4,1.63,,
HIRES,,54343.83179999981,-145.42,1.66,,
HDS,,55013.911450000014,-13.89,6.19,,
HDS,,55013.84121000022,3.74,5.69,,
HDS,,55014.03199000005,-109.25,5.29,,
HDS,,55013.76487000007,81.76,7.53,,
HDS,,55013.90603000019,-5.14,5.87,,
HDS,,55013.98541999981,-60.13,5.24,,
HDS,,55013.80871000001,25.86,6.95,,
HIRES,,55016.055079999845,4.1,2.23,,
HDS,,55014.00486000022,-76.79,5.51,,
HDS,,55013.8358,13.27,5.85,,
HDS,,55014.02113999985,-90.86,5.19,,
HIRES,,55042.03696000017,189.91,2.53,,
HDS,,55014.06426999997,-114.12,5.32,,
HDS,,55014.11769000022,-137.88,5.84,,
HDS,,55013.90059999982,5.42,6.32,,
HDS,,55000.07079999987,184.21,11.29,,
HDS,,55013.97999999998,-64.15,5.92,,
HDS,,55000.08361000009,193.11,13.3,,
HIRES,,55014.953220000025,-41.51,2.08,,
HDS,,55000.09641000023,224.15,12.23,,
HDS,,55013.94200999988,-22.51,5.8,,
HDS,,55014.04284999985,-107.39,6.12,,
HDS,,55014.04828000022,-107.15,5.91,,
HDS,,55000.03550000023,196.69,12.26,,
HIRES,,55042.98594000004,-228.74,2.4,,
HIRES,,54344.98804999981,84.42,2.15,,
HIRES,,54338.77438999992,166.71,1.39,,
HDS,,55013.889760000166,-1.91,6.11,,
HDS,,55014.026560000144,-81.24,6.44,,
HIRES,,54344.9880400002,101.05,1.91,,
HDS,,55013.86831999989,-10.16,6.26,,
HDS,,55013.85747999977,-4.64,6.31,,
HIRES,,54339.898860000074,-256.42,1.83,,
HDS,,55013.803299999796,30.06,7.1,,
HDS,,55013.96371999988,-59.3,5.56,,
HIRES,,54337.76211000001,-223.89,1.6,,
HDS,,55013.95286000008,-11.12,6.17,,
HDS,,55000.09213999985,210.55,11.67,,
HDS,,55013.75919000013,74.13,8.47,,
HDS,,55014.13396999985,-111.9,7.02,,
HDS,,55013.99627,-69.24,4.86,,
HDS,,55013.85205999995,5.91,6.67,,
HIRES,,54339.898860000074,-241.02,1.46,,
HDS,,55013.82495999988,5.68,6.69,,
HDS,,55013.920340000186,-14.44,5.9,,
HDS,,55014.03741999995,-100.31,5.77,,
HDS,,55013.770299999975,55.46,8.11,,
HDS,,55013.81412000023,29.68,7.44,,
HIRES,,54338.854549999814,144.67,1.42,,
HDS,,55013.873740000185,-3.95,5.32,,
HIRES,,54343.83179999981,-162.19,1.75,,
HDS,,55013.93660000013,-37.18,5.53,,
HIRES,,55044.07368999999,191.34,2.55,,
HDS,,55000.07506999979,210.15,11.25,,
HDS,,55013.95828999998,5.23,5.75,,
HDS,,55013.89517999999,-22.65,5.91,,
HDS,,55013.77572999988,44.87,7.6,,
HDS,,55013.84664000012,12.79,6.91,,
HIRES,,54983.990199999884,-77.44,2.2,,
HDS,,55000.10068000015,195.24,11.97,,
HDS,,55014.015720000025,-73.56,5.96,,
HIRES,,54336.85366000002,73.33,1.48,,
HIRES,,54338.85455999989,131.12,1.57,,
HDS,,55013.9691300001,-63.07,6.04,,
HDS,,55013.97456,-55.5,5.88,,
HDS,,55013.787029999774,61.6,7.5,,
HIRES,,54988.009399999864,-221.82,2.28,,
HDS,,55014.12855000002,-136.48,5.96,,
HDS,,55013.99085999979,-55.52,4.96,,
HDS,,55013.93117999984,2.95,5.79,,
HDS,,55013.830389999785,15.44,6.63,,
HIRES,,54336.8536700001,58.89,1.78,,
HDS,,55014.01029000012,-80.53,5.47,,
HDS,,55000.08786999993,225.66,12.45,,
HDS,,55013.862900000066,0.95,6.07,,
HDS,,55000.079330000095,195.95,11.94,,
HDS,,55014.06970999995,-110.83,5.39,,
HDS,,55013.792450000066,42.35,6.83,,
HDS,,55014.12312000012,-143.3,6.07,,
