ins_name,ins_mode,obj_date_bjd,spectro_ccf_rv,spectro_ccf_rv_err,spectro_analysis_rhk,spectro_analysis_rhk_err
HIRES,,54428.91258999985,167.01,3.46,,
HIRES,,54427.98280999996,159.16,2.68,,
HIRES,,54455.935519999824,-147.17,3.07,,
HIRES,,55193.91528999992,-87.16,2.42,,
HIRES,,54372.10061000008,-32.06,2.1,,
HIRES,,54397.915459999815,115.53,2.75,,
HIRES,,54809.86947999988,151.7,3.05,,
HIRES,,55109.13605999993,-192.39,2.72,,
HIRES,,54371.97469000006,-34.16,2.29,,
HIRES,,54460.87067000009,160.04,3.45,,
HIRES,,54373.11653000023,118.15,2.03,,
HIRES,,54337.11514999997,-169.94,2.28,,
HIRES,,54778.93313999986,55.05,2.66,,
HIRES,,54372.97042000014,105.93,2.15,,
HIRES,,55192.94774999982,-32.84,2.99,,
HIRES,,54345.13120999979,-3.91,2.35,,
HIRES,,54728.03347000014,-179.29,2.33,,
HIRES,,55192.95593000017,-23.64,2.92,,
HIRES,,54339.14209000021,-85.37,2.75,,
HIRES,,54548.76911999984,159.5,2.44,,
HIRES,,54399.03019999992,40.57,3.37,,
HIRES,,54344.05983999977,77.73,2.4,,
HIRES,,54810.84708999982,116.5,3.53,,
