#TYPE=EXOPLANET
#OBSCODE=TESS
#SECONDARY_OBSCODES=
#SOFTWARE=EXOTIC v3.0.1.dev18+gdd90272.d20230707
#DELIM=,
#DATE_TYPE=BJD_TDB
#OBSTYPE=CCD
#STAR_NAME=HAT-P-23
#EXOPLANET_NAME=hatp23b
#BINNING=1x1
#EXPOSURE_TIME=120.0
#COMP_STAR-XC=null
#NOTES=TESS Data
#DETREND_PARAMETERS=AIRMASS, AIRMASS CORRECTION FUNCTION
#MEASUREMENT_TYPE=Rnflux
#FILTER=I
#FILTER-XC={"name": "I", "fwhm": [{"value": 600, "units": "nm"}, {"value": 1000, "units": "nm"}]}
#PRIORS=Period=1.212884 +/- 2e-06,a/R*=4.14 +/- 0.23,inc=85.3 +/- 0.16,ecc=0.11,u0=0.42,u1=0.084,u2=0.31,u3=-0.18
#PRIORS-XC={"Period": {"value": "1.212884", "uncertainty": "2e-06", "units": "days"}, "a/R*": {"value": "4.14", "uncertainty": "0.23"}, "inc": {"value": "85.3", "uncertainty": "0.16", "units": "degrees"}, "ecc": {"value": "0.11", "uncertainty": null}, "u0": {"value": "0.42", "uncertainty": null}, "u1": {"value": "0.084", "uncertainty": null}, "u2": {"value": "0.31", "uncertainty": null}, "u3": {"value": "-0.18", "uncertainty": null}}
#RESULTS=Tc=2459788.71252 +/- 0.00079,Rp/R*=0.1104 +/- 0.0023,Am1=0,Am2=0
#RESULTS-XC={"Tc": {"value": "2459788.71252", "uncertainty": "0.00079", "units": "BJD_TDB"}, "Rp/R*": {"value": "0.1104", "uncertainty": "0.0023"}, "Am1": {"value": 0, "uncertainty": null}, "Am2": {"value": 0, "uncertainty": null}, "Duration": {"value": "0.092", "uncertainty": "0.0", "units": "days"}, "inc": {"value": "85.31", "uncertainty": "1.29", "units": "degrees"}}
# EXOTIC is developed by Exoplanet Watch (exoplanets.nasa.gov/exoplanet-watch/), a citizen science project managed by NASA's Jet Propulsion Laboratory on behalf of NASA's Universe of Learning. This work is supported by NASA under award number NNX16AC65A to the Space Telescope Science Institute.
# Use of this data is governed by the AAVSO Data Usage Guidelines: aavso.org/data-usage-guidelines
#DATE,DIFF,ERR,DETREND_1,DETREND_2
2459788.53036089,1.0025583505630493,0.0032814000733196735,0.0,1.0
2459788.53174979,0.9969794750213623,0.003299799980595708,0.0,1.0
2459788.53313869,0.9985573887825012,0.0032945999410003424,0.0,1.0
2459788.5345276,1.0001351833343506,0.003289399901404977,0.0,1.0
2459788.5359165,1.0026493072509766,0.0032810999546200037,0.0,1.0
2459788.5373054,1.0006325244903564,0.00328770000487566,0.0,1.0
2459788.5386943,0.9980450868606567,0.003296300070360303,0.0,1.0
2459788.54008321,1.0002204179763794,0.0032891000155359507,0.0,1.0
2459788.54147211,1.0013668537139893,0.003285299986600876,0.0,1.0
2459788.54286101,0.9958183169364929,0.0033036000095307827,0.0,1.0
2459788.54424991,1.0066440105438232,0.0032681000884622335,0.0,1.0
2459788.54563882,1.0018212795257568,0.0032838000915944576,0.0,1.0
2459788.54702772,1.0004241466522217,0.0032883998937904835,0.0,1.0
2459788.54841662,0.9993209838867188,0.0032921000383794308,0.0,1.0
2459788.54980552,0.9999666213989258,0.0032899000216275454,0.0,1.0
2459788.55119442,0.9950317740440369,0.0033062000293284655,0.0,1.0
2459788.55258333,1.00297212600708,0.0032800999470055103,0.0,1.0
2459788.55397223,0.9970707893371582,0.0032995000947266817,0.0,1.0
2459788.55536113,1.00082528591156,0.003287100000306964,0.0,1.0
2459788.55675003,1.0006687641143799,0.0032875998876988888,0.0,1.0
2459788.55813894,0.9951831102371216,0.003305699909105897,0.0,1.0
2459788.55952784,0.9968019127845764,0.003300399985164404,0.0,1.0
2459788.56091674,1.0002565383911133,0.0032889998983591795,0.0,1.0
2459788.56230564,1.002135992050171,0.0032828000839799643,0.0,1.0
2459788.56369455,0.9946483969688416,0.003307499922811985,0.0,1.0
2459788.56508345,0.9993959069252014,0.003291799919679761,0.0,1.0
2459788.56647235,0.9985343217849731,0.0032947000581771135,0.0,1.0
2459788.56786125,0.998742401599884,0.0032939999364316463,0.0,1.0
2459788.56925016,0.9971219897270203,0.003299300093203783,0.0,1.0
2459788.57063906,0.9985637068748474,0.0032945999410003424,0.0,1.0
2459788.57202796,1.0034123659133911,0.003278600051999092,0.0,1.0
2459788.57341686,0.9934685230255127,0.0033114999532699585,0.0,1.0
2459788.57480576,0.9987226724624634,0.0032939999364316463,0.0,1.0
2459788.57619467,1.0010545253753662,0.0032864001113921404,0.0,1.0
2459788.57758357,0.9969171285629272,0.0032999999821186066,0.0,1.0
2459788.57897247,0.9980555772781372,0.0032961999531835318,0.0,1.0
2459788.58036137,0.9990289807319641,0.003292999928817153,0.0,1.0
2459788.58175028,0.9966632723808289,0.0033007999882102013,0.0,1.0
2459788.58313918,0.9954512715339661,0.0033048999030143023,0.0,1.0
2459788.58452808,1.0006858110427856,0.0032875998876988888,0.0,1.0
2459788.58591698,1.0004420280456543,0.0032883998937904835,0.0,1.0
2459788.58730589,1.0008584260940552,0.0032870001159608364,0.0,1.0
2459788.58869479,1.0009634494781494,0.0032866999972611666,0.0,1.0
2459788.59008369,1.0017544031143188,0.003284099977463484,0.0,1.0
2459788.59147259,1.0042725801467896,0.0032758000306785107,0.0,1.0
2459788.5928615,0.9983035922050476,0.003295399947091937,0.0,1.0
2459788.5942504,1.0001300573349,0.003289399901404977,0.0,1.0
2459788.5956393,1.0025607347488403,0.0032814000733196735,0.0,1.0
2459788.5970282,1.0018677711486816,0.0032836999744176865,0.0,1.0
2459788.5984171,1.0020874738693237,0.003283000085502863,0.0,1.0
2459788.59980601,0.9995723962783813,0.003291199915111065,0.0,1.0
2459788.60119491,0.994985818862915,0.003306400030851364,0.0,1.0
2459788.60258381,0.9993941783905029,0.003291799919679761,0.0,1.0
2459788.60397271,0.998833417892456,0.00329370005056262,0.0,1.0
2459788.60536162,0.9979711771011353,0.0032965000718832016,0.0,1.0
2459788.60675052,0.9945449233055115,0.0033078999258577824,0.0,1.0
2459788.60813942,0.999573290348053,0.003291199915111065,0.0,1.0
2459788.60952832,0.9980639815330505,0.0032961999531835318,0.0,1.0
2459788.61091722,1.0024338960647583,0.003281800076365471,0.0,1.0
2459788.61230613,1.0029845237731934,0.003280000062659383,0.0,1.0
2459788.61369503,0.9983888268470764,0.003295100061222911,0.0,1.0
2459788.61508393,0.9959701895713806,0.003303099889308214,0.0,1.0
2459788.61647283,1.0002003908157349,0.003289199899882078,0.0,1.0
2459788.61786174,0.9962177872657776,0.003302300116047263,0.0,1.0
2459788.61925064,0.998586118221283,0.003294500056654215,0.0,1.0
2459788.62063954,0.9931511878967285,0.003312499960884452,0.0,1.0
2459788.62202844,0.99981689453125,0.00329039990901947,0.0,1.0
2459788.62341735,1.0014182329177856,0.0032852001022547483,0.0,1.0
2459788.62480625,1.0000054836273193,0.003289799904450774,0.0,1.0
2459788.62619515,1.0004639625549316,0.003288300009444356,0.0,1.0
2459788.62758405,0.996586799621582,0.003301100106909871,0.0,1.0
2459788.62897296,1.0015137195587158,0.003284800099208951,0.0,1.0
2459788.63036186,1.0028076171875,0.003280600067228079,0.0,1.0
2459788.63175076,0.9960787296295166,0.003302800003439188,0.0,1.0
2459788.63313966,0.9990684986114502,0.0032929000444710255,0.0,1.0
