#TYPE=EXOPLANET
#OBSCODE=TESS
#SECONDARY_OBSCODES=
#SOFTWARE=EXOTIC v3.0.1.dev18+gdd90272.d20230707
#DELIM=,
#DATE_TYPE=BJD_TDB
#OBSTYPE=CCD
#STAR_NAME=HAT-P-23
#EXOPLANET_NAME=hatp23b
#BINNING=1x1
#EXPOSURE_TIME=120.0
#COMP_STAR-XC=null
#NOTES=TESS Data
#DETREND_PARAMETERS=AIRMASS, AIRMASS CORRECTION FUNCTION
#MEASUREMENT_TYPE=Rnflux
#FILTER=I
#FILTER-XC={"name": "I", "fwhm": [{"value": 600, "units": "nm"}, {"value": 1000, "units": "nm"}]}
#PRIORS=Period=1.212884 +/- 2e-06,a/R*=4.14 +/- 0.23,inc=85.3 +/- 0.16,ecc=0.11,u0=0.42,u1=0.084,u2=0.31,u3=-0.18
#PRIORS-XC={"Period": {"value": "1.212884", "uncertainty": "2e-06", "units": "days"}, "a/R*": {"value": "4.14", "uncertainty": "0.23"}, "inc": {"value": "85.3", "uncertainty": "0.16", "units": "degrees"}, "ecc": {"value": "0.11", "uncertainty": null}, "u0": {"value": "0.42", "uncertainty": null}, "u1": {"value": "0.084", "uncertainty": null}, "u2": {"value": "0.31", "uncertainty": null}, "u3": {"value": "-0.18", "uncertainty": null}}
#RESULTS=Tc=2459786.28806 +/- 0.00078,Rp/R*=0.1121 +/- 0.0022,Am1=0,Am2=0
#RESULTS-XC={"Tc": {"value": "2459786.28806", "uncertainty": "0.00078", "units": "BJD_TDB"}, "Rp/R*": {"value": "0.1121", "uncertainty": "0.0022"}, "Am1": {"value": 0, "uncertainty": null}, "Am2": {"value": 0, "uncertainty": null}, "Duration": {"value": "0.094", "uncertainty": "0.0", "units": "days"}, "inc": {"value": "86.85", "uncertainty": "1.33", "units": "degrees"}}
# EXOTIC is developed by Exoplanet Watch (exoplanets.nasa.gov/exoplanet-watch/), a citizen science project managed by NASA's Jet Propulsion Laboratory on behalf of NASA's Universe of Learning. This work is supported by NASA under award number NNX16AC65A to the Space Telescope Science Institute.
# Use of this data is governed by the AAVSO Data Usage Guidelines: aavso.org/data-usage-guidelines
#DATE,DIFF,ERR,DETREND_1,DETREND_2
2459786.10533487,0.9971671104431152,0.003299199976027012,0.0,1.0
2459786.10672378,1.0032387971878052,0.003279200056567788,0.0,1.0
2459786.10811268,1.000733494758606,0.00328739988617599,0.0,1.0
2459786.10950159,0.9983562231063843,0.0032951999455690384,0.0,1.0
2459786.11089049,1.0011701583862305,0.003286000108346343,0.0,1.0
2459786.1122794,0.9993330240249634,0.0032919999212026596,0.0,1.0
2459786.1136683,0.9982401728630066,0.0032955999486148357,0.0,1.0
2459786.11505721,0.9935042262077332,0.00331129995174706,0.0,1.0
2459786.11644611,0.9983184933662415,0.003295399947091937,0.0,1.0
2459786.11783502,0.9982994794845581,0.003295399947091937,0.0,1.0
2459786.11922392,1.0018975734710693,0.003283600090071559,0.0,1.0
2459786.12061283,0.9959293007850647,0.003303299890831113,0.0,1.0
2459786.12200173,1.0002716779708862,0.003288900014013052,0.0,1.0
2459786.12339064,0.996634304523468,0.0033009001053869724,0.0,1.0
2459786.12477955,1.0030741691589355,0.003279699943959713,0.0,1.0
2459786.12616845,0.9972419738769531,0.0032989000901579857,0.0,1.0
2459786.12755736,0.9998704791069031,0.0032901999074965715,0.0,1.0
2459786.12894626,1.0025821924209595,0.0032812999561429024,0.0,1.0
2459786.13033517,1.0009742975234985,0.003286600112915039,0.0,1.0
2459786.13172407,1.0038689374923706,0.0032770999241620302,0.0,1.0
2459786.13311298,0.9964597821235657,0.0033015001099556684,0.0,1.0
2459786.13450188,0.9980347156524658,0.003296300070360303,0.0,1.0
2459786.13589079,1.000374674797058,0.003288599895313382,0.0,1.0
2459786.13727969,1.004267930984497,0.0032758000306785107,0.0,1.0
2459786.1386686,1.0014902353286743,0.0032848999835550785,0.0,1.0
2459786.1400575,0.9968382716178894,0.0033003001008182764,0.0,1.0
2459786.14144641,1.001832127571106,0.0032838000915944576,0.0,1.0
2459786.14283531,0.9980570077896118,0.0032961999531835318,0.0,1.0
2459786.14422422,0.9952694773674011,0.0033054999075829983,0.0,1.0
2459786.14561312,0.9996775984764099,0.0032909000292420387,0.0,1.0
2459786.14700203,0.9983342289924622,0.0032953000627458096,0.0,1.0
2459786.14839093,0.9969009160995483,0.0032999999821186066,0.0,1.0
