2459169.880555,0.000141,TESS
2458416.424934,0.000362,TESS
2458428.664764,0.000363,TESS
2459145.400138,0.000142,TESS
2458430.025059,0.000353,TESS
2459164.440698,0.000142,TESS
2458415.064802,0.000346,TESS
2458435.465274,0.000339,TESS
2458412.344649,0.000349,TESS
2459150.840086,0.000140,TESS
2459160.360695,0.000145,TESS
2458431.384909,0.000333,TESS
2459146.760236,0.000141,TESS
2459154.920533,0.000139,TESS
2458417.784887,0.000360,TESS
2459161.720527,0.000139,TESS
2459167.160783,0.000151,TESS
2458427.305095,0.000358,TESS
2458413.705108,0.000354,TESS
2459163.080668,0.000148,TESS
2459153.560254,0.000142,TESS
2459168.520838,0.000139,TESS
2458425.945066,0.000330,TESS
2459148.120307,0.000140,TESS
2458434.105215,0.000335,TESS
2458432.745412,0.000348,TESS
2459152.200533,0.000154,TESS
2459165.800856,0.000153,TESS
2459159.000638,0.000143,TESS
2459149.480297,0.000159,TESS
