#TYPE=EXOPLANET
#OBSCODE=TESS
#SECONDARY_OBSCODES=
#SOFTWARE=EXOTIC v2.10.1.dev49+gdda92f0.d20230613
#DELIM=,
#DATE_TYPE=BJD_TDB
#OBSTYPE=CCD
#STAR_NAME=WASP-77 A
#EXOPLANET_NAME=wasp77ab
#BINNING=1x1
#EXPOSURE_TIME=20.0
#COMP_STAR-XC=null
#NOTES=TESS Data
#DETREND_PARAMETERS=AIRMASS, AIRMASS CORRECTION FUNCTION
#MEASUREMENT_TYPE=Rnflux
#FILTER=I
#FILTER-XC={"name": "I", "fwhm": [{"value": 600, "units": "nm"}, {"value": 1000, "units": "nm"}]}
#PRIORS=Period=1.36002854 +/- 6.2e-07,a/R*=5.332 +/- 0.057,inc=88.016 +/- 0.051,ecc=0.0074,u0=0.49,u1=-0.065,u2=0.45,u3=-0.22
#PRIORS-XC={"Period": {"value": "1.36002854", "uncertainty": "6.2e-07", "units": "days"}, "a/R*": {"value": "5.332", "uncertainty": "0.057"}, "inc": {"value": "88.016", "uncertainty": "0.051", "units": "degrees"}, "ecc": {"value": "0.0074", "uncertainty": null}, "u0": {"value": "0.49", "uncertainty": null}, "u1": {"value": "-0.065", "uncertainty": null}, "u2": {"value": "0.45", "uncertainty": null}, "u3": {"value": "-0.22", "uncertainty": null}}
#RESULTS=Tc=2459152.20052 +/- 0.00015,Rp/R*=0.11734 +/- 0.00047,Am1=0,Am2=0
#RESULTS-XC={"Tc": {"value": "2459152.20052", "uncertainty": "0.00015", "units": "BJD_TDB"}, "Rp/R*": {"value": "0.11734", "uncertainty": "0.00047"}, "Am1": {"value": 0, "uncertainty": null}, "Am2": {"value": 0, "uncertainty": null}, "Duration": {"value": "0.087", "uncertainty": "0.0", "units": "days"}, "inc": {"value": "88.39", "uncertainty": "0.39", "units": "degrees"}}
# EXOTIC is developed by Exoplanet Watch (exoplanets.nasa.gov/exoplanet-watch/), a citizen science project managed by NASA's Jet Propulsion Laboratory on behalf of NASA's Universe of Learning. This work is supported by NASA under award number NNX16AC65A to the Space Telescope Science Institute.
# Use of this data is governed by the AAVSO Data Usage Guidelines: aavso.org/data-usage-guidelines
#DATE,DIFF,ERR,DETREND_1,DETREND_2
2459152.04018461,0.9981260895729065,0.0016422000480815768,0.0,1.0
2459152.04064757,1.0014238357543945,0.0016368000069633126,0.0,1.0
2459152.04087905,0.99736088514328,0.0016434000572189689,0.0,1.0
2459152.04157349,1.0003955364227295,0.001638400019146502,0.0,1.0
2459152.04180496,0.999291181564331,0.0016403000336140394,0.0,1.0
2459152.04203644,1.001069188117981,0.0016373000107705593,0.0,1.0
2459152.04226792,1.000014305114746,0.0016391000244766474,0.0,1.0
2459152.0424994,1.0002037286758423,0.0016388000221922994,0.0,1.0
2459152.04273088,1.0023635625839233,0.0016351999947801232,0.0,1.0
2459152.04296236,1.0031371116638184,0.0016339999856427312,0.0,1.0
2459152.04319384,1.001193881034851,0.0016371000092476606,0.0,1.0
2459152.04342532,0.9991908073425293,0.0016404000343754888,0.0,1.0
2459152.0436568,0.9974890947341919,0.0016432000556960702,0.0,1.0
2459152.04388828,0.9990888237953186,0.0016406000358983874,0.0,1.0
2459152.04411976,0.9972568154335022,0.0016435999423265457,0.0,1.0
2459152.04435123,0.9984021782875061,0.0016417000442743301,0.0,1.0
2459152.04458271,0.9987741112709045,0.0016411000397056341,0.0,1.0
2459152.04481419,1.00364089012146,0.0016331999795511365,0.0,1.0
2459152.04527715,0.9986457228660583,0.0016413000412285328,0.0,1.0
2459152.04550863,1.0017688274383545,0.0016362000023946166,0.0,1.0
2459152.04574011,0.9982101917266846,0.0016420000465586782,0.0,1.0
2459152.04597159,1.0015833377838135,0.0016365000046789646,0.0,1.0
2459152.04620307,1.002008318901062,0.0016357999993488193,0.0,1.0
2459152.04643455,0.9995186924934387,0.001639900030568242,0.0,1.0
2459152.04666603,0.9979615211486816,0.0016424000496044755,0.0,1.0
2459152.0468975,1.0010793209075928,0.0016373000107705593,0.0,1.0
2459152.04712898,0.9999955892562866,0.0016391000244766474,0.0,1.0
2459152.04736046,1.0013710260391235,0.001636900007724762,0.0,1.0
2459152.04759194,0.9974122047424316,0.0016433000564575195,0.0,1.0
2459152.04782342,1.0031014680862427,0.0016339999856427312,0.0,1.0
2459152.0480549,1.00031578540802,0.0016386000206694007,0.0,1.0
2459152.04828638,0.9990891814231873,0.0016406000358983874,0.0,1.0
